#TYPE PSObject,
name,Postcode
Victoria Tavern,IG10 4BP
Victoria,W2 2NH
Villiers Arms,WD19 4AJ
Watch House,SE13 6JP
Wheatsheaf,SE1 1TY
White Cross,TW9 1TJ
White Hart,UB3 5DP
White Horse,SW6 4UL
White House,UB11 1AA
White Swan,E1 8DA
Willoughby Arms,KT2 6LN
Windsor Castle,SM5 3PT
Woodies,KT3 5DX
Woodman,HA4 7SE
Woolpack,SM7 2NZ
World's End,TW12 2AX
Wych Elm,KT2 6HT
